name,timestamp,values,app_kubernetes_io_instance,app_kubernetes_io_managed_by,app_kubernetes_io_name,app_kubernetes_io_part_of,container,controller_revision_hash,endpoint,instance,job,kubernetes_pod_name,namespace,node_ip,node_name,pod,statefulset_kubernetes_io_pod_name,strimzi_io_cluster,strimzi_io_kind,strimzi_io_name,topic
,1626917892.07,120273.83333333333,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,
,1626917892.07,120.6,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,__consumer_offsets
,1626917892.07,47080.333333333336,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-1
,1626917892.07,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-2
,1626917892.07,16409.866666666665,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-3
,1626917892.07,17977.9,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-4
,1626917892.07,56629.4,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-5
,1626917892.07,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-6
,1626917892.07,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-8484579f65,tcp-prometheus,172.17.0.6:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-7
